Netstat output collected at: 2025-11-07T07:41:29.708990
================================================================================

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING
  TCP    10.144.38.25:139       0.0.0.0:0              LISTENING
  TCP    10.144.38.25:52190     162.159.136.234:443    ESTABLISHED
  TCP    10.144.38.25:53217     52.207.127.29:443      ESTABLISHED
  TCP    10.144.38.25:56654     140.82.114.21:443      ESTABLISHED
  TCP    10.144.38.25:58276     142.250.69.69:443      ESTABLISHED
  TCP    10.144.38.25:61989     172.183.7.193:443      ESTABLISHED
  TCP    10.144.38.25:62576     23.218.75.28:443       ESTABLISHED
  TCP    10.144.38.25:62577     13.107.213.40:443      ESTABLISHED
  TCP    10.144.38.25:62603     157.90.91.74:443       ESTABLISHED
  TCP    10.144.38.25:63668     172.183.7.193:443      ESTABLISHED
  TCP    10.144.38.25:64162     34.107.243.93:443      ESTABLISHED
  TCP    10.144.38.25:65259     162.247.243.29:443     ESTABLISHED
  TCP    127.0.0.1:4522         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8123         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8754         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8754         127.0.0.1:57648        ESTABLISHED
  TCP    127.0.0.1:9703         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12434        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49263        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:49280        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:51464        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:53253        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:53280        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53477        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:56648        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:57648        127.0.0.1:8754         ESTABLISHED
  TCP    127.0.0.1:58807        127.0.0.1:58808        ESTABLISHED
  TCP    127.0.0.1:58808        127.0.0.1:58807        ESTABLISHED
  TCP    127.0.0.1:58809        127.0.0.1:58810        ESTABLISHED
  TCP    127.0.0.1:58810        127.0.0.1:58809        ESTABLISHED
  TCP    127.0.0.1:62476        127.0.0.1:62477        ESTABLISHED
  TCP    127.0.0.1:62477        127.0.0.1:62476        ESTABLISHED
  TCP    127.0.0.1:62478        127.0.0.1:62479        ESTABLISHED
  TCP    127.0.0.1:62479        127.0.0.1:62478        ESTABLISHED
  TCP    127.0.0.1:62480        127.0.0.1:62481        ESTABLISHED
  TCP    127.0.0.1:62481        127.0.0.1:62480        ESTABLISHED
  TCP    127.0.0.1:62514        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62515        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62516        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62517        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62518        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62519        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62520        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62521        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62522        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62523        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62524        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62525        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62526        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62527        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62528        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62529        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62531        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62532        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62533        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62535        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62536        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62537        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62538        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62539        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62540        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62541        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62542        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62543        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62544        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62545        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62546        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62547        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62548        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62549        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62550        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62551        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62552        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62553        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62554        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:62555        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62556        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62557        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62558        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62559        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62560        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62561        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62562        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62563        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62564        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62566        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62567        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62569        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62570        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62571        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62572        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62573        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62574        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62575        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62578        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62579        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62580        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62581        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62582        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:62583        127.0.0.1:62584        ESTABLISHED
  TCP    127.0.0.1:62584        127.0.0.1:62583        ESTABLISHED
  TCP    127.0.0.1:64174        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:64941        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65042        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:65163        127.0.0.1:59404        ESTABLISHED
  TCP    127.0.0.1:65457        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:65506        127.0.0.1:59404        ESTABLISHED
  TCP    192.168.1.144:139      0.0.0.0:0              LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49669             [::]:0                 LISTENING
  TCP    [::]:49671             [::]:0                 LISTENING
  TCP    [::1]:42050            [::]:0                 LISTENING
